u;v;oneway;length;geometry;name
1480202760;1584782241;False;96.481;;Largo de Santiago
1480202760;1603656860;True;218.51000000000002;LINESTRING (-8.4236724 41.549003, -8.4236706 41.5489434, -8.4236387 41.5488666, -8.4235552 41.5487263, -8.4235185 41.5486577, -8.4235049 41.5485967, -8.4235093 41.5485521, -8.4235201 41.5485241, -8.4235282 41.5485045, -8.423611 41.5484797, -8.4251838 41.5482006, -8.4253477 41.5483108);['Rua de São Bentinho', 'Rua dos Falcões']
1480221499;1785414721;False;68.17;;
1480230939;1650509911;True;45.305;;Avenida General Norton de Matos
1480230939;1763916882;False;70.29;LINESTRING (-8.4247912 41.5555592, -8.4247503 41.5555681, -8.4244221 41.5556396, -8.4242736 41.555672, -8.4242424 41.555692, -8.4240416 41.5558209);Rua Francisco Pereira Coutinho
1603656860;8821676033;False;28.969;;
1650509909;1650509911;False;12.523;;Avenida General Norton de Matos
1720871371;1851905243;True;153.017;LINESTRING (-8.4189534 41.5504431, -8.4193131 41.5502468, -8.4197037 41.5500289, -8.4201663 41.5497709, -8.4203268 41.54967, -8.4204208 41.5496143);Rua do Raio
1720871371;2435308256;True;193.422;LINESTRING (-8.4172616 41.5516137, -8.417395 41.5514878, -8.4175363 41.5513552, -8.4178517 41.5510523, -8.4188742 41.5504907, -8.4189534 41.5504431);['Rua do Raio', 'Largo da Senhora-a-Branca']
1763916884;1763916887;False;22.224;;
1786193330;1786193355;True;93.387;LINESTRING (-8.4275169 41.5480278, -8.4276744 41.5482171, -8.4278762 41.5485059, -8.4280355 41.5487713);Rua de Santo António das Travessas
1818309989;1818309995;True;24.266000000000002;LINESTRING (-8.4287783 41.5474314, -8.4285862 41.5473997, -8.4285058 41.547362);Rua São Sebastião
1851905243;4991413549;False;92.84500000000001;LINESTRING (-8.4204208 41.5496143, -8.4205408 41.5501945, -8.4205838 41.5503916, -8.4205935 41.5504392);Rua Dom João Cândido de Novais e Sousa
2057080323;2057080325;True;76.985;LINESTRING (-8.4174005 41.5517233, -8.4177657 41.5516582, -8.4179344 41.5516321, -8.4180846 41.5516306, -8.4182323 41.5516342, -8.4183114 41.5516399);Largo da Senhora-a-Branca
2057080323;2435308256;True;17.489;LINESTRING (-8.4172616 41.5516137, -8.4173006 41.5516736, -8.4173445 41.551703, -8.4174005 41.5517233);Largo da Senhora-a-Branca
2057080325;2681450611;True;159.23;LINESTRING (-8.4185046 41.5530645, -8.418315 41.5516928, -8.4183114 41.5516399);Rua do Sardoal
2681450611;4410122932;False;97.093;LINESTRING (-8.4185046 41.5530645, -8.4183832 41.5530417, -8.41828 41.5528932, -8.4181445 41.5526955, -8.4181096 41.5526642, -8.4180369 41.5526726, -8.417684 41.5528021);Rua Álvaro Miranda
